"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
5.84766601364596e-14,5.54239056677506e-73,3.39957557213964e-40,3.6085127915818e-49,1.43518758310116e-96,6.05055266925256e-58,9.26182732545693e-52,7.62463004176649e-87,2.95354899676213e-128,4.50544997989052e-52
2.58108427902678e-09,3.32188310050292e-69,4.29867708479926e-22,4.95697412910242e-51,7.22305232371408e-83,1.20868014321057e-51,7.40616930920919e-41,3.36044444301011e-103,6.16784455405686e-112,4.36357745538705e-70
1.20964742745431e-11,9.10493422520976e-83,1.04864841874434e-31,2.68082746733142e-45,4.57317538085267e-120,1.10012377825093e-50,1.72846083460892e-73,5.03219479687977e-107,1.16017864598586e-129,6.14818007449534e-82
2.51649671969901e-08,3.28695026146002e-80,6.49766106479748e-39,6.04531233664571e-52,3.22539261488773e-110,1.42461540613981e-46,4.31324920950751e-56,3.25090895571274e-122,4.10612249200669e-137,2.99127387401619e-70
2.37655555324206e-10,6.52631293289706e-62,2.74901959750329e-25,4.48794996407263e-39,2.11481420485023e-91,8.18958094192133e-49,1.43726544142009e-49,2.0478124564691e-101,3.20685162030984e-115,2.9361802855086e-62
5.23163611310998e-08,4.99237632900832e-74,1.15839513273053e-36,2.6400822579046e-44,7.93107422363543e-89,1.07831006812872e-39,9.6428277098512e-41,1.12825235309479e-91,9.92978956189845e-112,2.26905361952926e-62
8.27893774485656e-11,7.25673859959387e-82,3.23191376273945e-42,1.01747557269321e-45,1.96696482034376e-102,7.50161230301588e-58,2.80496683186688e-65,1.65396110513085e-104,8.67807067498136e-127,1.51391249161973e-55
1.38745921561621e-10,1.40028860261575e-66,6.37246434677788e-36,9.42070981336892e-43,1.04368567067154e-106,4.61723919938236e-47,9.42726040838241e-66,1.82952636014739e-106,1.16589923218013e-115,4.08272949411059e-67
9.71652212867961e-12,6.28593573626353e-68,2.29624753467983e-38,2.49188708632808e-42,2.57305640994654e-89,7.63303815720818e-52,1.21151340437266e-47,5.06673769849451e-110,1.85710296981309e-118,3.06886724431716e-67
1.07338642160113e-06,1.86393246180409e-97,4.52182452388204e-37,5.70572420245131e-52,1.57823729105758e-85,1.0813521196638e-49,1.80480647396236e-57,3.63354845509174e-105,1.33098306152348e-135,1.16084311620717e-75
9.26230801627231e-13,9.55727550971506e-57,2.0481638967131e-29,2.63246507717623e-45,1.43928343475182e-82,1.26601922730888e-45,1.48574180997326e-50,1.89962460281109e-90,6.83657033330078e-111,3.51914082415587e-54
