"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
5.77819508320563e-13,2.3283019208676e-69,8.77649083634246e-41,9.3033754092368e-47,1.45311773017847e-93,2.50693539169703e-52,6.10806552839881e-50,2.68999272997318e-88,7.57290122411462e-120,5.56336617528738e-53
3.08111373736968e-09,1.24334054902436e-70,5.24208235750527e-22,1.70936936313306e-41,4.52538496884334e-80,7.13125794279885e-47,2.22858871468598e-41,1.04743277972683e-94,1.38945604245557e-105,5.53383818618373e-69
6.196510682581e-12,1.29209276957624e-81,2.13938827604689e-32,8.00720182015216e-47,6.59795270417034e-113,5.36623113899898e-49,3.10759317051492e-72,2.75354872338319e-109,8.34058450820218e-122,1.08421124568568e-77
4.41457529233534e-08,1.46990717293607e-75,1.68755097834858e-38,1.65364085579711e-50,2.64655891323298e-102,4.94662227008251e-46,1.97610168121274e-52,3.50503435953163e-110,4.25294244594512e-126,1.99659203921082e-72
1.22103554951685e-09,1.15405337237008e-59,2.58192681002619e-27,1.54119854023381e-39,4.23837551763899e-90,9.94059005808588e-45,9.78595747389777e-53,1.29087923906225e-91,2.64148667809443e-100,3.05139235275443e-60
3.44706296809379e-08,1.15703290450408e-69,4.7839028567812e-34,2.66886773570499e-47,3.28785302785195e-86,1.19772587898594e-38,9.08086891926612e-42,4.84317861841982e-86,1.56410443472365e-109,2.4180859777664e-62
9.45591115450032e-11,4.23082343746397e-78,1.32816668584523e-42,1.8998909876592e-43,2.63514478897311e-97,8.29761244529507e-56,5.13873417058708e-70,1.1659723958565e-99,8.93628187329045e-120,5.47632618951992e-57
1.37870479728959e-10,6.77264106456452e-68,1.53871899981141e-32,8.3365648773568e-47,4.32411532008201e-104,3.80821217546542e-46,5.16041249548676e-62,4.99676267630749e-100,3.02728348697349e-105,2.02075537113196e-67
4.67551414111334e-11,5.20566972226922e-71,1.08998336723358e-36,8.9699616035702e-41,1.82732104871445e-88,1.56950171529089e-48,1.20332758333431e-46,1.97111960120703e-101,2.99858980992485e-125,3.89772015443358e-68
1.52462830527817e-06,1.11642483592021e-88,6.11825343229076e-36,6.36669589991075e-53,3.79846290470417e-85,1.46381657877776e-46,5.35157586061673e-60,1.75640145671781e-105,4.94356832739901e-130,9.8285748930049e-77
7.12506696240425e-13,6.45655823280988e-60,1.34260688853833e-29,1.60508279774533e-43,1.84762660896342e-78,3.84162180231399e-41,2.60586813532639e-51,3.40545555221516e-84,7.01140934091539e-108,1.68970433662338e-54
1.49523935625052e-06,4.63375678473845e-83,6.81004773051614e-31,1.41974408491616e-41,1.82643315617953e-92,1.48346443343738e-41,9.64607174470005e-50,1.38649716801059e-109,8.04664576760749e-132,8.08923499680913e-67
8.60568303881807e-13,5.22087863232999e-75,5.13858302245109e-26,6.41956451359027e-54,2.9015682274883e-91,3.99775608817596e-47,6.60669513308774e-65,5.38197216559461e-102,5.13022772138228e-127,2.74986262351562e-66
5.63660111571932e-12,5.43594766867754e-75,1.52810270277583e-40,1.92440343008124e-49,8.96265868134541e-94,2.62630564556589e-47,1.08555012017715e-62,1.00370590300148e-111,2.42275047451323e-141,6.85268401375979e-65
8.8322441973907e-09,6.42757689504942e-74,6.2685910963543e-34,1.88698875344204e-31,8.01043500423302e-98,7.23324293173154e-59,9.67750190074003e-54,1.12120081345181e-110,1.28370635043495e-113,3.14369330661721e-66
0.000193428100373719,3.99391135543517e-76,1.22088363057523e-25,5.60113229417161e-39,3.26400678289531e-87,2.24789066272033e-52,1.4485310865047e-47,4.42574234156094e-91,3.82684911099596e-118,4.74789343355711e-62
2.72470588310453e-12,4.80739931926112e-74,5.81005312987152e-30,7.49376055805319e-47,1.74403489428966e-97,3.98742659949072e-43,4.50254544869875e-55,7.03620500555044e-92,8.98891622600742e-108,2.66514492241315e-76
2.06453051380506e-06,1.11901289701525e-73,7.0452127956773e-32,2.64230029274408e-38,8.14420514638836e-97,1.24003743708102e-40,2.38495394601518e-54,4.13870833346257e-95,2.10929034086141e-110,3.7145207206066e-57
4.41538080816144e-09,1.85770562459166e-63,1.97981733061687e-31,1.89748816357937e-37,4.29230066881142e-101,4.34583339040829e-54,6.08001435342088e-48,2.45745485962956e-94,2.16351913324039e-96,1.42082216797503e-63
1.03490931488786e-09,1.11198690259909e-67,4.30979987475216e-47,1.15931813986622e-42,5.98073613467916e-93,3.36935958199073e-43,1.55257753624056e-70,6.43202383230529e-89,7.23032638464115e-109,3.20835807888885e-83
1.4308834495851e-09,1.20185217769917e-64,1.78769753494396e-33,2.62470283932488e-49,1.40889201259962e-73,2.63953272064006e-44,7.8090184200109e-56,2.82468670777905e-107,7.1393208941569e-102,1.1154184314866e-66
1.05707155382923e-10,2.06238459711886e-80,1.69211606312805e-33,2.43452461984311e-42,3.3758288414047e-95,3.68043720841452e-43,1.90007692102682e-56,9.28483380380868e-83,4.08744039362964e-117,4.30831558499048e-62
3.73906457747312e-12,1.81610810184676e-67,1.18681506224947e-32,1.03817507827765e-40,3.47672880547606e-89,8.44062135957206e-42,7.51300710934992e-52,2.35554738495318e-105,2.7588205554542e-113,5.09718591815344e-62
6.54459921982152e-12,9.04348841909469e-78,3.57228792040085e-33,7.55736184892639e-38,3.88122470506342e-89,4.49126884821105e-49,5.55575271738321e-57,4.83443440351334e-109,9.58965937791346e-120,3.96132415334113e-58
2.12913029130787e-10,2.15565853707452e-89,1.38359939968077e-35,3.00850150877597e-45,2.65395351519008e-92,8.77298381107907e-55,1.78098664960585e-46,8.86571417950927e-102,7.10769168541605e-104,2.2929839124566e-64
7.21403449621141e-11,2.79286202907789e-67,8.02427117470946e-35,7.71642792475814e-49,1.29798928568041e-95,7.43691315622513e-47,1.90580270037001e-60,6.92302018397229e-112,4.68743832622152e-119,6.47365298497697e-70
8.21088774585285e-08,2.90971619079724e-62,2.24941853398746e-24,4.22350463599059e-34,9.05032069587636e-75,9.16721969811221e-54,4.09522155655196e-49,3.20998540251575e-92,6.00715244802608e-95,1.28068470248131e-62
6.30819016927747e-09,1.40713897241223e-68,1.7164080585385e-30,1.08379964922967e-42,4.41826268006184e-71,7.29242278202058e-43,6.65653717381721e-49,8.53802181062055e-96,4.78841875682932e-110,3.97511201303321e-52
1.50872894396921e-07,1.00432533181959e-72,6.57983329944729e-30,3.91668477132742e-33,1.17885286694488e-69,4.61645015660305e-40,4.86647124074662e-48,2.05865238455745e-84,2.30012213641128e-114,5.69961032297755e-57
