"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
3.01111642071866e-05,1.51298217214094e-72,3.7221750170389e-35,5.80935213398814e-25,4.1529455903487e-90,3.38957058088511e-27,1.75342013489853e-27,9.59599525822792e-153,2.98238058520088e-134,2.6305169030772e-32
1.63139817440496e-07,1.57064647785112e-74,1.11223463740468e-30,6.34684746094113e-42,2.3626506009705e-94,1.48696204855122e-33,5.1770367976021e-33,4.24107900464852e-137,5.79386416041492e-183,5.44496930904718e-54
2.62570303217286e-07,2.88085067078687e-94,1.96242290654562e-19,1.72581303708176e-32,1.25068506243636e-89,6.21934499996401e-25,1.91892081942388e-40,7.07133324768795e-98,1.10041829640541e-172,4.80439429985421e-33
2.28155978405543e-10,1.96822562431327e-90,2.99397110420176e-16,8.3428751110711e-41,1.11132726087825e-125,3.16055747499104e-24,6.6694389431496e-30,4.66417105781178e-97,8.47657003959627e-174,2.38480300312951e-57
1.54512620798251e-06,3.51187620394954e-138,4.19994257598957e-37,7.57947744239422e-49,2.55237679417201e-69,3.85568231996177e-33,8.51248681778775e-36,3.63492697649604e-160,3.95530592539361e-168,1.41504229296977e-43
2.03890318234776e-06,4.76535264788501e-124,8.90421976812081e-28,1.40404384448563e-49,4.50594359594437e-116,1.29977328532221e-22,7.50107003095953e-29,7.73249655296065e-84,4.94920723802624e-200,1.05178019643269e-46
8.31717539276283e-08,1.31553360474971e-89,1.46133079827999e-30,2.23622003544312e-40,7.47492325686393e-60,5.77147516288701e-23,3.85827765495429e-32,8.12649654599472e-149,1.51065700036836e-185,2.64562111488314e-60
1.02652998989832e-08,3.30673895463638e-84,1.31875568147416e-34,4.167802253793e-36,2.76030996682113e-88,9.60516476979236e-32,4.87366064347302e-37,1.32293972325548e-154,3.28724139911534e-165,2.38598532218154e-53
2.22427109557856e-06,8.36344779904019e-93,1.0012628448448e-36,2.2824217479576e-46,3.4781162568598e-84,8.47420656663982e-40,7.73324786703209e-32,1.41891448328318e-137,7.91709321822727e-187,1.9411500646009e-40
3.78642460574126e-08,8.13348392968104e-95,3.60389831860872e-34,1.41892211873097e-44,2.54511239265166e-83,8.49273952975794e-27,1.07949591961858e-31,2.2250026410282e-167,7.09890845158487e-194,1.32307013894422e-50
4.4362241322586e-05,4.06650638083652e-91,2.19420476822789e-38,6.9647983045141e-37,4.53075548075407e-41,7.59564885240538e-27,4.90781209439447e-31,1.96481361131855e-153,1.51477596166534e-161,7.63534660881789e-64
8.44159176987127e-07,7.95258225791841e-66,6.38226095352397e-25,1.11864131813603e-25,2.26991782362172e-116,9.25389337087596e-29,2.09835160255293e-31,4.23460095006788e-120,8.1486932165762e-149,4.76094813210843e-29
1.59720903565776e-07,1.0046943197646e-78,3.98842347934813e-30,4.47892957928932e-49,4.17179326770841e-126,2.03310574453509e-28,2.82066266899338e-34,9.92375831619531e-90,2.14505767866614e-186,2.6557976353038e-44
1.35856147762925e-11,3.07742004978944e-100,1.23590761565513e-25,5.61504801864243e-40,2.51263565756416e-112,5.8563435439509e-27,2.795131966536e-41,1.98725379965575e-124,3.31937619669064e-174,1.7855722146017e-39
3.61178862268537e-06,1.29701565725869e-71,4.5491909019723e-27,1.29249714026838e-31,5.93003752527327e-62,1.01772735183944e-23,3.23288733007872e-31,2.93727799327554e-159,2.69940351814269e-170,5.66286352193859e-39
0.000464320614094355,7.96861300238344e-98,2.44741026816631e-23,1.28776861901739e-47,1.9509588165753e-74,2.00524909507038e-30,2.87874450787492e-41,1.76948070606746e-139,9.23150959499052e-181,4.05889072693665e-48
0.000246175909063207,2.53228090655677e-86,7.97096468691327e-21,1.23475247579366e-24,1.79258320325514e-93,5.74282918635645e-28,5.35597587825367e-37,3.42211997757795e-125,9.41917325932711e-167,1.84779166041883e-44
7.68019162439242e-05,9.13823261035359e-73,9.34989672152618e-18,1.25052966288182e-33,5.80827370102112e-89,3.06405216365452e-22,8.24028876095838e-37,6.39423976310795e-104,7.45691992845035e-148,3.67695149742915e-24
1.90902659960808e-07,7.99161932248958e-81,5.95328452153554e-24,4.88258955022011e-45,3.90391722621637e-104,5.86293930696931e-33,1.74475641220953e-45,1.70436561886554e-125,8.16090366071873e-159,1.20800815530869e-39
