"PercOracleORD","MSE-Norm","MSE-SoC","PerImpOverTO","MissclassPerc"
1,0,12800,1.04061040693796,1
0.988865979381443,12.12,12800,1.02779381443299,0.7576
0.969491801941431,37.41,12800,1.01068602659271,0.2518
1,0,12800,1.04006954218064,1
1,0,12800,1.06086523291539,1
1,0,12800,1.0606086150215,1
0.992254449571523,12.29,12800,1.02974620962426,0.7542
1,0,12800,1.05709501883633,1
0.967571038689998,37.76,12800,1.01003371327661,0.2448
0.970069009789761,38.14,12800,1.00930829722356,0.2372
0.963247172859451,50,12800,1,0
1,0,12800,1.04109136006614,1
1,0,12800,1.05795283492223,1
1,0,12800,1.0399138787678,1
1,0,12800,1.06575963718821,1
1,0,12800,1.05791794957144,1
0.961185208849133,50,12800,1,0
1,0,12800,1.05801311312142,1
1,0,12800,1.05609958506224,1
1,0,12800,1.0626483553747,1
0.991002888980603,12.34,12800,1.0294676021461,0.7532
1,0,12800,1.05813270698767,1
1,0,12800,1.06075928381963,1
1,0,12800,1.04144464179988,1
1,0,12800,1.03982154659617,1
0.988888888888889,12.99,12800,1.0281045751634,0.7402
1,0,12800,1.03803187120092,1
0.961206548915235,50,12800,1,0
1,0,12800,1.04287146916263,1
1,0,12800,1.03727325436925,1
1,0,12800,1.05765885179355,1
1,0,12800,1.06082260074782,1
0.962311153969785,50,12800,1,0
0.989612763835799,12.63,12800,1.02891806548114,0.7474
1,0,12800,1.04152393683683,1
1,0,12800,1.05909694555113,1
1,0,12800,1.0416456759026,1
1,0,12800,1.0589707231629,1
1,0,12800,1.03755790866976,1
0.990017325303193,11.81,12800,1.03044303275307,0.7638
1,0,12800,1.03488470309992,1
0.973739837398374,37.83,12800,1.0090243902439,0.2434
1,0,12800,1.04602963209589,1
1,0,12800,1.04168075752452,1
1,0,12800,1.0592666170019,1
1,0,12800,1.03759777946001,1
1,0,12800,1.04211145666975,1
0.990018148820327,12.42,12800,1.02862563933344,0.7516
1,0,12800,1.04331434316354,1
1,0,12800,1.04005710446758,1
1,0,12800,1.03942235870197,1
0.959066197633515,50,12800,1,0
0.990334138821765,12.54,12800,1.03124739605033,0.7492
1,0,12800,1.05861635220126,1
1,0,12800,1.05752876438219,1
0.969075494549859,37.24,12800,1.00896245458216,0.2552
1,0,12800,1.04241967871486,1
1,0,12800,1.04534706975173,1
1,0,12800,1.04105448744858,1
1,0,12800,1.0627010972692,1
1,0,12800,1.05801819851407,1
0.988837984173261,12.62,12800,1.03032069970845,0.7476
1,0,12800,1.03816538332775,1
0.990132669983416,12.31,12800,1.03092868988391,0.7538
1,0,12800,1.03854496913065,1
1,0,12800,1.04323292672807,1
1,0,12800,1.03991649269311,1
0.990398145848854,12.57,12800,1.02673619733466,0.7486
1,0,12800,1.03928189080128,1
1,0,12800,1.03846153846154,1
1,0,12800,1.03993344425957,1
0.970916334661355,37.83,12800,1.00892430278884,0.2434
0.970803513337671,37.34,12800,1.00910865322056,0.2532
0.990443236117977,12.28,12800,1.02834074806393,0.7544
1,0,12800,1.03978405315615,1
1,0,12800,1.04037241492955,1
0.972937617529229,37.42,12800,1.01054697081187,0.2516
1,0,12800,1.04145728643216,1
1,0,12800,1.05929919137466,1
1,0,12800,1.04005922513778,1
1,0,12800,1.03862195528862,1
0.988693158541581,13.04,12800,1.0294961081524,0.7392
1,0,12800,1.03779045728934,1
1,0,12800,1.10920346677672,1
1,0,12800,1.04047148038246,1
1,0,12800,1.03845191425473,1
1,0,12800,1.06108390737821,1
1,0,12800,1.03768428027166,1
0.972700104999596,37.01,12800,1.0099345771747,0.2598
1,0,12800,1.03651825912956,1
0.989716370874108,12.71,12800,1.02769945264555,0.7458
0.969833480814094,37.22,12800,1.0087684015767,0.2556
0.990322316082998,12.29,12800,1.03026326580825,0.7542
0.940907658367476,150.24,12800,1,0.2488
1,0,12800,1.05926923724533,1
1,0,12800,1.03645020934242,1
1,0,12800,1.04056879966541,1
1,0,12800,1.04020805812417,1
1,0,12800,1.04242984372374,1
1,0,12800,1.05824682814302,1
1,0,12800,1.04101367122374,1
1,0,12800,1.05894562058946,1
1,0,12800,1.04105816573479,1
1,0,12800,1.05557880639491,1
0.991082486995294,12.23,12800,1.0309635868219,0.7554
1,0,12800,1.05958333333333,1
0.973724387304138,37.14,12800,1.0272398553636,0.2572
1,0,12800,1.03717135086129,1
1,0,12800,1.04354087251165,1
1,0,12800,1.04063705771283,1
0.97102615694165,37.18,12800,1.0097384305835,0.2564
0.969820554649266,37.25,12800,1.00995106035889,0.255
0.98885770881479,13.14,12800,1.02839220864972,0.7372
1,0,12800,1.06272878535774,1
1,0,12800,1.0379757285561,1
1,0,12800,1.05741865690272,1
1,0,12800,1.04120992334954,1
1,0,12800,1.05922682967124,1
0.961541492631413,50,12800,1,0
0.970018487259867,37.14,12800,1.02941885700506,0.2572
1,0,12800,1.06022905166021,1
0.972009973457733,37.1,12800,1.01069733773023,0.258
1,0,12800,1.04353718448247,1
1,0,12800,1.06330275229358,1
1,0,12800,1.04087171052632,1
1,0,12800,1.04116508123579,1
0.972666449086162,37.27,12800,1.01117819843342,0.2546
1,0,12800,1.04190667000584,1
0.992124692370796,12.54,12800,1.0304347826087,0.7492
1,0,12800,1.03882693102024,1
0.963314358001265,50,12800,1,0
1,0,12800,1.0422452735486,1
1,0,12800,1.05991977268929,1
1,0,12800,1.0375460945357,1
1,0,12800,1.04285834809753,1
1,0,12800,1.04051063829787,1
1,0,12800,1.03833388649187,1
0.989423235828789,12.34,12800,1.02958188729136,0.7532
1,0,12800,1.04044209997488,1
1,0,12800,1.04105793450882,1
1,0,12800,1.05737501036398,1
1,0,12800,1.03857047650783,1
1,0,12800,1.0418830901146,1
1,0,12800,1.05401593096581,1
0.960534846029173,50,12800,1,0
0.988961199439822,12.34,12800,1.02751462229179,0.7532
1,0,12800,1.05958829902492,1
0.9438149197356,148.96,12800,0.980248662259994,0.2552
1,0,12800,1.03737306475778,1
1,0,12800,1.04120036475172,1
0.990092415285988,12.56,12800,1.02805761385397,0.7488
1,0,12800,1.03891937526382,1
1,0,12800,1.06079611975247,1
1,0,12800,1.06185139061851,1
1,0,12800,1.03872192866579,1
0.9707963881884,37.44,12800,1.0094362645408,0.2512
1,0,12800,1.04053496243705,1
0.990549468930334,12.46,12800,1.03127874885005,0.7508
0.991340206185567,12.36,12800,1.03043298969072,0.7528
1,0,12800,1.06061618101361,1
1,0,12800,1.05730730730731,1
1,0,12800,1.04025670945158,1
0.960917721518987,50,12800,1,0
1,0,12800,1.06212358716278,1
1,0,12800,1.04340190667336,1
1,0,12800,1.03895018388499,1
0.990680412371134,12.62,12800,1.03331958762887,0.7476
0.990877712031558,12.5,12800,1.03065417488494,0.75
0.959329375902455,50,12800,1,0
0.972813049736127,37.77,12800,1.00815608507916,0.2446
1,0,12800,1.03923665377972,1
0.971800258564964,37.52,12800,1.00969618616677,0.2496
1,0,12800,1.03956080797921,1
0.970195189114765,37.12,12800,1.01044788207662,0.2576
1,0,12800,1.03810720268007,1
1,0,12800,1.05880893300248,1
1,0,12800,1.06405483161279,1
0.972849571952711,37.44,12800,1.00872401141459,0.2512
1,0,12800,1.0374269005848,1
1,0,12800,1.03833070604829,1
1,0,12800,1.03947152470048,1
1,0,12800,1.03852273678921,1
1,0,12800,1.03736833305467,1
0.993182573994014,12.22,12800,1.02859993348853,0.7556
1,0,12800,1.06180193596426,1
0.962207896857373,50,12800,1,0
0.990821176856253,12.5,12800,1.03007703655138,0.75
1,0,12800,1.05850932697839,1
1,0,12800,1.04020394516884,1
1,0,12800,1.04092586380409,1
1,0,12800,1.0417016277899,1
0.969457651704408,37.59,12800,1.00846160045129,0.2482
0.990902324042676,12.16,12800,1.0296915060789,0.7568
1,0,12800,1.06070077315348,1
0.99061837167564,12.16,12800,1.02928699624735,0.7568
1,0,12800,1.05703006887284,1
1,0,12800,1.04226872612523,1
1,0,12800,1.05892619680851,1
1,0,12800,1.05480356553318,1
1,0,12800,1.03902276327858,1
1,0,12800,1.05877448937057,1
0.990121017535194,12.86,12800,1.02996624680991,0.7428
1,0,12800,1.05717413270461,1
1,0,12800,1.05675609557205,1
0.989500661375661,12.63,12800,1.02843915343915,0.7474
0.990766465108678,12.66,12800,1.02941657133519,0.7468
1,0,12800,1.0601714474118,1
1,0,12800,1.03994717728623,1
1,0,12800,1.0648635111445,1
1,0,12800,1.0624584717608,1
1,0,12800,1.04229808492923,1
1,0,12800,1.04091516366065,1
1,0,12800,1.0408683496423,1
1,0,12800,1.04058333333333,1
1,0,12800,1.03999668764492,1
0.991727332892124,12.34,12800,1.02870615486433,0.7532
0.945922475724323,149.4,12800,0.981053130180785,0.253
1,0,12800,1.05810754481034,1
1,0,12800,1.05718376284319,1
